Logo Names ,Networth ,Revenue,Profit ,Ranking ,Font,Color - hex #,Number of Colors,Type of Logo,Living thing in the logo,"Gradient (y,n)"
Nike ,$ 26 billions ,34350,4240,89,Swoosh ,#0D0D0D   #ED3833,1,4,0,0
Apple ,$1 trillion ,229234,48351,4,Bitten Apple? Icon,#AAAAAA,1,5,0,0
Walmart ,$514.405 billion,500343,9862,1,, #F2B749 #1D71CE,2,0,0,0
Amazon,$1 trillion  ++,177866,3033,8,sans serif typeface Officina Sans Bold,#F3993E #232F3E #5D6973,3,0,0,0
Mircosoft ,$1 trillion ,89950,21204,30,, #46A5F4 #80BA32 #F5B944  #EE4F34  #707070,5,0,0,0
Target ,"$62.6 billion
",71879,2934,39,Helvetica Neue Bold, #CD2F2B #F2F2F2,2,4,0,0
Disney ,$130 billion,55137,8980,55,Waltograph , #202D73 #80C7F2  #66A3F2,3,0,0,0
Facebook ,,40653,40653,76,Klavika ,#253659  #3C5A99 #FFFFFF,3,2,0,0
Coca-Cola,$230 billion,35410,1248,87,Spencerian Script ,#BF2A2A #F2F2F2,2,1,0,0
3M,$32.8 billion,31657,4858,97,Helvetica Black, #E33530 #FCFEFF,2,1,0,0
Pepsi Co.,$18.8 billion,63525,4857,45,Sans Serif , #0B0B0D #1261A6   #4BA66A #F2F2F2 orange - #F26D3D,5,4,0,0
Netflix ,$1.86 billions,11693,558.9,261,Graphique,Light red - #D93030 ddark red - #400A0A black - #0D0D0D,3,2,0,1
eBay ,$45 billions,9567,-1016,309,font univers Extended ,#D93644   #0D7AD9  #94BF36 #F2A444 #F2F2F2,5,1,0,0
UnitedHealth Group ,$226.2 billion,201159,10558,5,Century Std-Book Condensed, #11308C #142B73 #FFFFFF  #F2A444,4,0,0,0
General Mills. ,$15.620 billions,15620,1657.5,182,Univers Pro 55 Roman, #0455BF #6997BF #D93030 #F2F2F2,4,0,0,0
Comcast ,$210 billions ,84526,22714,33,XFINITY Standard.,#BF3056 -#5F5DA6 - #55A649 - #F2A444 -#F26D3D,5,0,0,0
UPS ,$80 billlions,65872,4910,44,Yanone Kaffeesatz Bold,#F2CF8D - #F2A444 -#D9843B-#401E0A-#F2F2F2,5,3,0,0
Bloomin Brands,,4213,100.2,584,,#BF141C - #EF7921 - #BED52F - #43A140 - #029CDA -#324645 - ,8,0,0,1
Yum Brands,,5878,1340,472,,#E61B23 - #F8F8F8,2,3,0,0
Acuity Brands,,3505,321.7,665,,#495966 - #EE2D24,2,0,0,0
PPL,,7447,1128,380,,#004392 - #028EE4,2,0,0,0
Mercury General,,3416,144.9,677,,#951A1D - #000000 - #636463,3,0,0,0
OGE Energy,,2261,619,891,,#D5352F,1,2,0,0
Entergy,,11075,411.6,274,,#F8163C - #000000,2,0,0,0
PolyOne,,3452,-57.7,672,,#000000 - #EB3012,2,1,0,0
H.B. Fuller,,2306,58.2,873,,#004B8D - #1F1A17,2,0,0,0
M& T Bank Corp.,,6019,1408.3,467,,#007955,1,1,0,0
Xylem,,4707,331,547,,#0087BB,1,1,0,0
Laureate Education,,4378,91.5,568,,#E95A20 - #000000,2,0,0,0
IBM,,79139,5753,34,,#1E6DBC,1,2,0,0
Chevron,,134533,9195,13,,#0055A3 - #1B88C1 - #E7122B,3,0,0,1
Cincinnati Financial,,5732,1045,484,,#005A83 - #5E6E66,2,0,0,0
General Motors,,157311,-3864,10,,#22559E - #FFFFFF,2,1,0,0
Ventas,,3574,1356.5,652,,#00A2DE - #000000,2,0,0,1
Boise Cascade,,4432,83,562,,#6AA04A - #2B2D28,2,0,0,0
Cooper Tire & Rubber,,2855,95.4,759,,#1E285D,1,0,0,0
Harris,,6939,553,407,,#000000 - #C23C40,2,1,0,0
Bank of America Corp.,,100264,18232,24,Franklin Gothic,#E33638 - #002169,2,1,0,0
Ciena,,2802,1262,770,,#C92E29,1,1,0,0
Starbucks,,22387,2884.7,132,Santana Black Font,#307042,1,5,1,0
Mosaic,,7409,-107.2,382,,#000000 - #20544D - #A53E22 - #A7902E - #9EAB33,5,1,0,0
Comerica,,3289,743,702,,#1B5D9B,1,3,0,0
CSRA,,4993,304,526,,#0F3A5C - #ED3833,2,0,0,0
Best Buy,,42151,1000,72,,#010101 - #F6EC4D,2,3,0,0
Toro,,2505,267.7,828,,#E13538,1,3,0,0
Ensign Group,,1849,40.5,999,,#808084 - #4F6F1B,2,0,0,0
Torchmark,,4156,1454.5,591,,#2770A0,1,0,0,0
Deere,,29738,2159.1,102,,#377C2B - #FEE74E,2,0,1,0
Catalent,,2075,109.8,936,,#236DAF,1,1,0,0
Genesis Healthcare,,5374,-579,505,,#EB3732 - #9E9FA1 - #BCBDC1 - #DCDDDF,4,1,0,0
Markel,,6062,395.3,464,,#BAA56E,1,1,0,1
Foot Locker,,7782,284,363,,#161413 - #E53636,2,1,1,0
Teradata,,2156,-67,920,,#3A4851 - #E36C42 - #FFFFFF,3,1,0,0
Freds,,2064,-140.3,942,,#2679C3 - #FFFFFF - #FAD249 - #8DC63F,4,3,0,0
Hanesbrands,,6478,61.9,433,,#EC3832 - #591B59,2,1,0,0
Parexel International,,2442,107.3,846,,#54575B - #862356,2,0,0,0
Church & Dwight,,3776,743.4,623,,#BA2B30 - #FFFFFF - #104B8D - #FBE3CC,4,5,1,0
