Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Avg Temp,Avg Temp Flag,Penman PET,Penman PET Flag,Rainfall,Rainfall Flag
Fargo,46.897,-96.812,902,2000,1,1,-7.929,,0.483,,0,
Fargo,46.897,-96.812,902,2000,1,2,-9.433,,0.432,,0,
Fargo,46.897,-96.812,902,2000,1,3,-14.645,,0.33,,0,
Fargo,46.897,-96.812,902,2000,1,4,-16.7,,0.483,,0,
Fargo,46.897,-96.812,902,2000,1,5,-6.256,,0.991,,0,
Fargo,46.897,-96.812,902,2000,1,6,-13.55,,0.483,,0,
Fargo,46.897,-96.812,902,2000,1,7,-9.797,,1.194,,0,
Fargo,46.897,-96.812,902,2000,1,8,-1.283,,0.787,,0,
Fargo,46.897,-96.812,902,2000,1,9,-2.137,,0.483,,0,
Fargo,46.897,-96.812,902,2000,1,10,-6.012,,0.33,,4.267,
Fargo,46.897,-96.812,902,2000,1,11,-16.655,,0.559,,0,
Fargo,46.897,-96.812,902,2000,1,12,-17.14,,0.381,,0,
Fargo,46.897,-96.812,902,2000,1,13,-16.605,,0.279,,0,
Fargo,46.897,-96.812,902,2000,1,14,-10.513,,0.635,,0,
Fargo,46.897,-96.812,902,2000,1,15,-15.405,,0.457,,0,
Fargo,46.897,-96.812,902,2000,1,16,-17.155,,0.711,,0,
Fargo,46.897,-96.812,902,2000,1,17,-6.828,,1.016,,0,
Fargo,46.897,-96.812,902,2000,1,18,-12.115,,0.381,,0,
Fargo,46.897,-96.812,902,2000,1,19,-16.855,,0.559,,0,
Fargo,46.897,-96.812,902,2000,1,20,-20.515,,0.229,,0,
Fargo,46.897,-96.812,902,2000,1,21,-19.86,,0.432,,0,
Fargo,46.897,-96.812,902,2000,1,22,-11.785,,0.813,,0,
Fargo,46.897,-96.812,902,2000,1,23,-15.255,,0.584,,0,
Fargo,46.897,-96.812,902,2000,1,24,-10.476,,0.66,,0.152,
Fargo,46.897,-96.812,902,2000,1,25,-13.051,,0.762,,0,
Fargo,46.897,-96.812,902,2000,1,26,-14.465,,0.711,,0,
Fargo,46.897,-96.812,902,2000,1,27,-10.009,,0.991,,0,
Fargo,46.897,-96.812,902,2000,1,28,-9.235,,0.991,,0.152,
Fargo,46.897,-96.812,902,2000,1,29,-9.557,,0.559,,0.152,
Fargo,46.897,-96.812,902,2000,1,30,-10.236,,0.711,,0.152,
Fargo,46.897,-96.812,902,2000,1,31,-7.401,,0.66,,0,
Fargo,46.897,-96.812,902,2000,2,1,-7.498,,0.305,,0,
Fargo,46.897,-96.812,902,2000,2,2,0.36,,2.413,,0,
Fargo,46.897,-96.812,902,2000,2,3,-4.106,,0.813,,0.305,
Fargo,46.897,-96.812,902,2000,2,4,-6.869,,1.092,,0,
Fargo,46.897,-96.812,902,2000,2,5,-6.766,,0.711,,0,
Fargo,46.897,-96.812,902,2000,2,6,-4.623,,1.753,,0,
Fargo,46.897,-96.812,902,2000,2,7,-9.116,,0.94,,0,
Fargo,46.897,-96.812,902,2000,2,8,-1.391,,1.88,,0,
Fargo,46.897,-96.812,902,2000,2,9,-4.521,,1.118,,0,
Fargo,46.897,-96.812,902,2000,2,10,-14.74,,1.016,,0.432,
Fargo,46.897,-96.812,902,2000,2,11,-18.425,,0.432,,0,
Fargo,46.897,-96.812,902,2000,2,12,-13.325,,0.559,,2.515,
Fargo,46.897,-96.812,902,2000,2,13,-19.21,,0.457,,0,
Fargo,46.897,-96.812,902,2000,2,14,-10.922,,0.686,,0.432,
Fargo,46.897,-96.812,902,2000,2,15,-11.62,,0.635,,7.95,
Fargo,46.897,-96.812,902,2000,2,16,-15.185,,0.686,,0,
Fargo,46.897,-96.812,902,2000,2,17,-8.343,,0.61,,0,
Fargo,46.897,-96.812,902,2000,2,18,-10.491,,0.66,,0,
Fargo,46.897,-96.812,902,2000,2,19,-10.323,,0.965,,0,
Fargo,46.897,-96.812,902,2000,2,20,-5.219,,1.422,,0,
Fargo,46.897,-96.812,902,2000,2,21,-2.011,,1.372,,0,
Fargo,46.897,-96.812,902,2000,2,22,0.03,,1.397,,0,
Fargo,46.897,-96.812,902,2000,2,23,1.417,,0.889,,0,
Fargo,46.897,-96.812,902,2000,2,24,4.615,,0.152,,0.584,
Fargo,46.897,-96.812,902,2000,2,25,6.748,,0.102,,16.485,
Fargo,46.897,-96.812,902,2000,2,26,4.942,,0.889,,1.778,
Fargo,46.897,-96.812,902,2000,2,27,3.123,,1.88,,0.737,
Fargo,46.897,-96.812,902,2000,2,28,6.623,,2.515,,0.152,
Fargo,46.897,-96.812,902,2000,2,29,3.188,,1.448,,0,
Fargo,46.897,-96.812,902,2000,3,1,0.871,,1.93,,0,
Fargo,46.897,-96.812,902,2000,3,2,1.294,,1.778,,0,
Fargo,46.897,-96.812,902,2000,3,3,7.934,,2.845,,0.584,
Fargo,46.897,-96.812,902,2000,3,4,5.797,,2.235,,0,
Fargo,46.897,-96.812,902,2000,3,5,11.534,,3.835,,0.737,
Fargo,46.897,-96.812,902,2000,3,6,10.199,,4.039,,0,
Fargo,46.897,-96.812,902,2000,3,7,9.146,,2.286,,0.152,
Fargo,46.897,-96.812,902,2000,3,8,0.52,,1.295,,20.777,
Fargo,46.897,-96.812,902,2000,3,9,-8.64,,1.346,,0,
Fargo,46.897,-96.812,902,2000,3,10,-7.256,,1.422,,2.642,
Fargo,46.897,-96.812,902,2000,3,11,-2.671,,2.007,,0,
Fargo,46.897,-96.812,902,2000,3,12,-5.159,,1.854,,0,
Fargo,46.897,-96.812,902,2000,3,13,-0.718,,1.422,,0,
Fargo,46.897,-96.812,902,2000,3,14,-2.697,,0.711,,0,
Fargo,46.897,-96.812,902,2000,3,15,-8.653,,1.93,,0,
Fargo,46.897,-96.812,902,2000,3,16,-8.913,,1.245,,0,
Fargo,46.897,-96.812,902,2000,3,17,-2.888,,2.565,,0,
Fargo,46.897,-96.812,902,2000,3,18,3.417,,2.743,,0,
Fargo,46.897,-96.812,902,2000,3,19,1.428,,1.092,,0,
Fargo,46.897,-96.812,902,2000,3,20,1.525,,0.635,,0,
Fargo,46.897,-96.812,902,2000,3,21,3.847,,0.965,,0,
Fargo,46.897,-96.812,902,2000,3,22,7.773,,3.327,,0,
Fargo,46.897,-96.812,902,2000,3,23,9.182,,1.422,,2.794,
Fargo,46.897,-96.812,902,2000,3,24,7.651,,1.245,,1.168,
