Year,Month,Day,Average of 5 cm,Average of 10 cm,Average of 20 cm,Average of 30 cm,Average of 40 cm,Average of 50 cm,Average of 60 cm,Average of 80 cm,Average of 100 cm,Average of 125 cm,Average of 150 cm,Average of 175 cm,Average of 200 cm,Average of 225 cm
2014,10,2,16.1375,15.68166667,15.00666667,14.74666667,14.6725,14.58583333,14.47666667,14.1375,13.75916667,13.20916667,12.685,12.135,11.63416667,11.0725
2014,10,3,9.898791667,11.68458333,13.44,14.20208333,14.45,14.45666667,14.38416667,14.14375,13.7875,13.2675,12.74833333,12.21041667,11.68875,11.13458333
2014,10,4,8.322625,9.880833333,11.76,12.97458333,13.66625,13.97875,14.11125,14.05416667,13.7525,13.26,12.75458333,12.2175,11.70708333,11.15541667
2014,10,5,8.636125,9.65625,11.12333333,12.22416667,12.96125,13.39416667,13.68083333,13.82791667,13.63791667,13.19875,12.71125,12.17875,11.70208333,11.16041667
2014,10,6,8.801125,9.616666667,10.785,11.74291667,12.45333333,12.92291667,13.28083333,13.57708333,13.50875,13.15625,12.70708333,12.19583333,11.70208333,11.1625
2014,10,7,9.789166667,10.16208333,10.90291667,11.59916667,12.17166667,12.58958333,12.95083333,13.31208333,13.34875,13.08541667,12.69,12.19708333,11.70541667,11.17333333
2014,10,8,8.250166667,9.403333333,10.58541667,11.37583333,11.94583333,12.33791667,12.68541667,13.09791667,13.18916667,13.00166667,12.65208333,12.18541667,11.7275,11.19875
2014,10,9,6.729833333,8.009,9.588333333,10.73083333,11.51458333,12.0175,12.42458333,12.90375,13.04166667,12.92125,12.61958333,12.18041667,11.73208333,11.22333333
2014,10,10,6.970791667,7.891958333,9.182083333,10.25375,11.07041667,11.64166667,12.12333333,12.68791667,12.89,12.82791667,12.57583333,12.17125,11.73083333,11.23916667
2014,10,11,8.884458333,9.032416667,9.59375,10.24958333,10.8575,11.35333333,11.81791667,12.39166667,12.65333333,12.65083333,12.44625,12.08125,11.67541667,11.19166667
2014,10,12,10.1,10.08125,10.22541667,10.51291667,10.87916667,11.23208333,11.61416667,12.14458333,12.4375,12.49375,12.3425,12.0175,11.63625,11.16166667
2014,10,13,11.22566667,11.21375,10.97958333,10.92083333,11.065,11.28041667,11.56666667,12.00875,12.29833333,12.38916667,12.27375,11.97666667,11.62083333,11.16875
2014,10,14,9.018666667,9.680333333,10.36583333,10.8275,11.14291667,11.36125,11.59166667,11.955,12.21,12.31375,12.22666667,11.95833333,11.62125,11.19833333
2014,10,15,9.940583333,10.09183333,10.43541667,10.77916667,11.07541667,11.3025,11.5375,11.84916667,12.07166667,12.1675,12.10375,11.86958333,11.55875,11.15291667
2014,10,16,11.6875,11.35833333,11.0525,11.01,11.125,11.28125,11.4825,11.755,11.96083333,12.05875,12.0125,11.80625,11.50333333,11.11208333
2014,10,17,8.692208333,9.712916667,10.64333333,11.0375,11.20791667,11.30875,11.44458333,11.69416667,11.87708333,11.96291667,11.9225,11.73333333,11.47541667,11.08916667
2014,10,18,7.933166667,8.803333333,9.84625,10.53208333,10.95375,11.2,11.40125,11.66958333,11.82583333,11.90083333,11.86458333,11.68875,11.44833333,11.08625
2014,10,19,9.502583333,9.577458333,9.845833333,10.27708333,10.70458333,11.01958333,11.30541667,11.6175,11.79708333,11.87083333,11.83416667,11.66125,11.42208333,11.08916667
