agency_cd,site_no,Month,Day,Year,Time,Discharge,Qualification Code
USGS,5054000,1,1,2000,0:00,470,A:e
USGS,5054000,1,2,2000,0:00,470,A:e
USGS,5054000,1,3,2000,0:00,470,A:e
USGS,5054000,1,4,2000,0:00,460,A:e
USGS,5054000,1,5,2000,0:00,460,A:e
USGS,5054000,1,6,2000,0:00,460,A:e
USGS,5054000,1,7,2000,0:00,460,A:e
USGS,5054000,1,8,2000,0:00,455,A:e
USGS,5054000,1,9,2000,0:00,455,A:e
USGS,5054000,1,10,2000,0:00,455,A:e
USGS,5054000,1,11,2000,0:00,450,A:e
USGS,5054000,1,12,2000,0:00,450,A:e
USGS,5054000,1,13,2000,0:00,445,A:e
USGS,5054000,1,14,2000,0:00,440,A:e
USGS,5054000,1,15,2000,0:00,440,A:e
USGS,5054000,1,16,2000,0:00,440,A:e
USGS,5054000,1,17,2000,0:00,440,A:e
USGS,5054000,1,18,2000,0:00,440,A:e
USGS,5054000,1,19,2000,0:00,440,A:e
USGS,5054000,1,20,2000,0:00,440,A:e
USGS,5054000,1,21,2000,0:00,440,A:e
USGS,5054000,1,22,2000,0:00,440,A:e
USGS,5054000,1,23,2000,0:00,435,A:e
USGS,5054000,1,24,2000,0:00,435,A:e
USGS,5054000,1,25,2000,0:00,430,A:e
USGS,5054000,1,26,2000,0:00,430,A:e
USGS,5054000,1,27,2000,0:00,425,A:e
USGS,5054000,1,28,2000,0:00,425,A:e
USGS,5054000,1,29,2000,0:00,420,A:e
USGS,5054000,1,30,2000,0:00,420,A:e
USGS,5054000,1,31,2000,0:00,420,A:e
USGS,5054000,2,1,2000,0:00,420,A:e
USGS,5054000,2,2,2000,0:00,415,A:e
USGS,5054000,2,3,2000,0:00,415,A:e
USGS,5054000,2,4,2000,0:00,415,A:e
USGS,5054000,2,5,2000,0:00,410,A:e
USGS,5054000,2,6,2000,0:00,410,A:e
USGS,5054000,2,7,2000,0:00,410,A:e
USGS,5054000,2,8,2000,0:00,410,A:e
USGS,5054000,2,9,2000,0:00,410,A:e
USGS,5054000,2,10,2000,0:00,410,A:e
USGS,5054000,2,11,2000,0:00,405,A:e
USGS,5054000,2,12,2000,0:00,405,A:e
USGS,5054000,2,13,2000,0:00,400,A:e
USGS,5054000,2,14,2000,0:00,400,A:e
USGS,5054000,2,15,2000,0:00,400,A:e
USGS,5054000,2,16,2000,0:00,400,A:e
USGS,5054000,2,17,2000,0:00,400,A:e
USGS,5054000,2,18,2000,0:00,400,A:e
USGS,5054000,2,19,2000,0:00,400,A:e
USGS,5054000,2,20,2000,0:00,400,A:e
USGS,5054000,2,21,2000,0:00,410,A:e
USGS,5054000,2,22,2000,0:00,430,A:e
USGS,5054000,2,23,2000,0:00,450,A:e
USGS,5054000,2,24,2000,0:00,500,A:e
USGS,5054000,2,25,2000,0:00,550,A:e
USGS,5054000,2,26,2000,0:00,640,A:e
USGS,5054000,2,27,2000,0:00,780,A:e
USGS,5054000,2,28,2000,0:00,1000,A:e
USGS,5054000,2,29,2000,0:00,1300,A:e
USGS,5054000,3,1,2000,0:00,1500,A:e
USGS,5054000,3,2,2000,0:00,2200,A:e
USGS,5054000,3,3,2000,0:00,2400,A:e
USGS,5054000,3,4,2000,0:00,2500,A:e
USGS,5054000,3,5,2000,0:00,2600,A:e
USGS,5054000,3,6,2000,0:00,2600,A:e
USGS,5054000,3,7,2000,0:00,2500,A:e
USGS,5054000,3,8,2000,0:00,2600,A:e
USGS,5054000,3,9,2000,0:00,3000,A:e
USGS,5054000,3,10,2000,0:00,3300,A:e
USGS,5054000,3,11,2000,0:00,3580,A
USGS,5054000,3,12,2000,0:00,3350,A
USGS,5054000,3,13,2000,0:00,2990,A
USGS,5054000,3,14,2000,0:00,2530,A
USGS,5054000,3,15,2000,0:00,2150,A
USGS,5054000,3,16,2000,0:00,1930,A
USGS,5054000,3,17,2000,0:00,1700,A
USGS,5054000,3,18,2000,0:00,1570,A
USGS,5054000,3,19,2000,0:00,1550,A
USGS,5054000,3,20,2000,0:00,1500,A
USGS,5054000,3,21,2000,0:00,1540,A
USGS,5054000,3,22,2000,0:00,1740,A
USGS,5054000,3,23,2000,0:00,2370,A
USGS,5054000,3,24,2000,0:00,3020,A
USGS,5054000,3,25,2000,0:00,3060,A
USGS,5054000,3,26,2000,0:00,2550,A
USGS,5054000,3,27,2000,0:00,2110,A
USGS,5054000,3,28,2000,0:00,1910,A
USGS,5054000,3,29,2000,0:00,1740,A
USGS,5054000,3,30,2000,0:00,1680,A
USGS,5054000,3,31,2000,0:00,1660,A
USGS,5054000,4,1,2000,0:00,1550,A
USGS,5054000,4,2,2000,0:00,1450,A
USGS,5054000,4,3,2000,0:00,1410,A
USGS,5054000,4,4,2000,0:00,1390,A
USGS,5054000,4,5,2000,0:00,1380,A
USGS,5054000,4,6,2000,0:00,1360,A
USGS,5054000,4,7,2000,0:00,1330,A
USGS,5054000,4,8,2000,0:00,1280,A
USGS,5054000,4,9,2000,0:00,1200,A
USGS,5054000,4,10,2000,0:00,1190,A
USGS,5054000,4,11,2000,0:00,1190,A
USGS,5054000,4,12,2000,0:00,1190,A
USGS,5054000,4,13,2000,0:00,1180,A
USGS,5054000,4,14,2000,0:00,1180,A
USGS,5054000,4,15,2000,0:00,1170,A
