agency_cd,site_no,Month,Day,Year,Time,Discharge,Qualification
USGS,5082500,1,1,2000,0:00,2300,A:e
USGS,5082500,1,2,2000,0:00,2250,A:e
USGS,5082500,1,3,2000,0:00,2250,A:e
USGS,5082500,1,4,2000,0:00,2250,A:e
USGS,5082500,1,5,2000,0:00,2250,A:e
USGS,5082500,1,6,2000,0:00,2200,A:e
USGS,5082500,1,7,2000,0:00,2200,A:e
USGS,5082500,1,8,2000,0:00,2200,A:e
USGS,5082500,1,9,2000,0:00,2200,A:e
USGS,5082500,1,10,2000,0:00,2200,A:e
USGS,5082500,1,11,2000,0:00,2150,A:e
USGS,5082500,1,12,2000,0:00,2100,A:e
USGS,5082500,1,13,2000,0:00,2100,A:e
USGS,5082500,1,14,2000,0:00,2050,A:e
USGS,5082500,1,15,2000,0:00,2050,A:e
USGS,5082500,1,16,2000,0:00,2000,A:e
USGS,5082500,1,17,2000,0:00,2000,A:e
USGS,5082500,1,18,2000,0:00,2000,A:e
USGS,5082500,1,19,2000,0:00,2000,A:e
USGS,5082500,1,20,2000,0:00,1950,A:e
USGS,5082500,1,21,2000,0:00,1950,A:e
USGS,5082500,1,22,2000,0:00,1900,A:e
USGS,5082500,1,23,2000,0:00,1900,A:e
USGS,5082500,1,24,2000,0:00,1850,A:e
USGS,5082500,1,25,2000,0:00,1850,A:e
USGS,5082500,1,26,2000,0:00,1800,A:e
USGS,5082500,1,27,2000,0:00,1800,A:e
USGS,5082500,1,28,2000,0:00,1750,A:e
USGS,5082500,1,29,2000,0:00,1750,A:e
USGS,5082500,1,30,2000,0:00,1700,A:e
USGS,5082500,1,31,2000,0:00,1700,A:e
USGS,5082500,2,1,2000,0:00,1700,A:e
USGS,5082500,2,2,2000,0:00,1700,A:e
USGS,5082500,2,3,2000,0:00,1700,A:e
USGS,5082500,2,4,2000,0:00,1700,A:e
USGS,5082500,2,5,2000,0:00,1700,A:e
USGS,5082500,2,6,2000,0:00,1700,A:e
USGS,5082500,2,7,2000,0:00,1700,A:e
USGS,5082500,2,8,2000,0:00,1700,A:e
