month,day,year,avg.temp,penman.pet,rainfall,discharge,snow.depth
10,1,2003,1.15,2.515,0,62.8,0
10,2,2003,8.549,4.699,0,68.2,0
10,3,2003,12.31,4.445,0,81.7,0
10,4,2003,12.722,3.251,0,84.9,0
10,5,2003,16.635,5.69,0,75,0
10,6,2003,17.79,5.766,0,70,0
10,7,2003,19.225,6.198,0,70,0
10,8,2003,22.61,6.833,0,72,0
10,9,2003,21.925,5.131,0,75,0
10,10,2003,22.205,6.579,0.254,74,0
10,11,2003,11.995,2.337,21.082,123,0
10,12,2003,9.709,2.108,0,100,0
10,13,2003,10.268,2.896,0,90,0
10,14,2003,7.429,2.54,0,100,0
10,15,2003,3.422,2.108,0,100,0
10,16,2003,5.329,1.651,0,89,0
10,17,2003,7.582,2.337,0,95,0
10,18,2003,12.25,2.388,0,105,0
10,19,2003,17.946,5.944,0,96,0
10,20,2003,13.979,6.172,0,90,0
10,21,2003,11.056,1.981,0,95,0
10,22,2003,12.474,4.572,0,106,0
10,23,2003,6.072,1.93,0,124,0
10,24,2003,9.892,4.521,0,132,0
10,25,2003,1.837,2.032,0,124,0
10,26,2003,1.574,1.727,0,111,0
10,27,2003,3.231,0.94,5.842,100,0
10,28,2003,1.241,0.94,0.508,95,0
10,29,2003,-0.379,0.406,NA,100,0
10,30,2003,1.141,0.229,NA,108,0
10,31,2003,-3.552,0.889,NA,110,0
11,1,2003,-4.596,0.965,NA,110,0
11,2,2003,-1.969,1.041,NA,115,0
11,3,2003,-6.001,0.965,NA,118,0
11,4,2003,-4.213,0.432,NA,126,4
11,5,2003,-9.041,0.787,NA,134,62
11,6,2003,-9.831,1.041,NA,114,55
11,7,2003,-12.815,0.584,NA,101,49
11,8,2003,-11.352,0.914,NA,88.5,46
11,9,2003,-3.039,0.864,NA,88.3,42
11,10,2003,0.62,0.178,NA,95,40
11,11,2003,2.419,0.584,NA,137,11
11,12,2003,-2.438,0.965,NA,188,4
11,13,2003,-2.162,1.575,NA,201,15
11,14,2003,3.094,0.914,NA,178,0
11,15,2003,3.408,0.203,NA,182,0
11,16,2003,3.307,0.051,NA,187,0
11,17,2003,5.746,1.041,NA,178,0
11,18,2003,2.403,0.889,NA,154,0
11,19,2003,4.215,1.448,NA,140,0
11,20,2003,0.507,1.854,NA,125,0
11,21,2003,-7.971,0.381,NA,115,0
11,22,2003,-5.409,0.94,NA,108,0
11,23,2003,-9.975,0.559,NA,98,0
11,24,2003,-12.56,0.711,NA,93,0
11,25,2003,-6.242,0.686,NA,90,0
11,26,2003,-4.843,0.864,NA,94,9
11,27,2003,-6.716,0.61,NA,100,7
11,28,2003,-8.759,0.584,NA,115,6
11,29,2003,-1.291,1.245,NA,140,5
11,30,2003,0.146,1.549,NA,210,0
12,1,2003,-4.561,1.499,NA,185,0
12,2,2003,-3.903,1.854,NA,165,0
12,3,2003,-0.652,1.168,NA,155,0
12,4,2003,-1.771,0.305,NA,150,0
12,5,2003,-6.239,0.406,NA,145,17
12,6,2003,-4.724,0.381,NA,135,16
12,7,2003,-0.671,0.457,NA,128,14
12,8,2003,-5.426,0.61,NA,118,14
12,9,2003,-13.36,0.305,NA,113,18
12,10,2003,-16.735,0.406,NA,110,17
12,11,2003,-20.275,0.254,NA,110,17
12,12,2003,-12.185,0.508,NA,105,16
12,13,2003,-5.951,0.432,NA,97,15
12,14,2003,-6.121,0.508,NA,91,14
12,15,2003,-5.437,0.254,NA,88,14
12,16,2003,-11.45,0.279,NA,81,60
12,17,2003,-9.966,0.254,NA,81,55
12,18,2003,-5.588,0.584,NA,80,166
12,19,2003,-10.276,0.279,NA,80,152
12,20,2003,-2.855,0.61,NA,80,145
12,21,2003,-1.236,0.508,NA,80,138
12,22,2003,-2.702,0.711,NA,83,98
12,23,2003,-7.597,0.051,NA,90,96
12,24,2003,-6.047,0.406,NA,92,97
12,25,2003,-1.669,0.965,NA,93,96
12,26,2003,0.416,0.66,NA,94,92
12,27,2003,3.18,0.229,NA,94,91
12,28,2003,-1.973,0.559,NA,94,10
12,29,2003,-8.729,0.381,NA,95,23
12,30,2003,-12.25,0.203,NA,97,23
12,31,2003,-14.092,0.66,NA,99,50
1,1,2004,-5.208,0.66,NA,100,48
1,2,2004,-7.413,0.914,NA,100,46
1,3,2004,-19.045,0.483,NA,110,45
1,4,2004,-21.83,0.254,NA,125,44
1,5,2004,-23.63,0.406,NA,130,42
1,6,2004,-15.865,0.635,NA,130,97
1,7,2004,-14.545,0.356,NA,130,94
1,8,2004,-13.164,0.483,NA,130,93
1,9,2004,-7.811,0.584,NA,130,92
1,10,2004,-4.532,0.229,NA,130,89
1,11,2004,-6.939,0.305,NA,125,90
1,12,2004,-5.055,0.711,NA,120,90
1,13,2004,-11.231,0.813,NA,115,89
1,14,2004,-7.616,1.346,NA,115,87
1,15,2004,-8.342,1.092,NA,115,88
1,16,2004,-3.744,0.762,NA,115,94
1,17,2004,-13.272,1.295,NA,115,92
1,18,2004,-23.28,0.33,NA,120,89
1,19,2004,-18.49,0.381,NA,120,88
1,20,2004,-10.371,0.686,NA,115,87
1,21,2004,-12.406,1.702,NA,115,86
1,22,2004,-19.533,0.533,NA,115,85
1,23,2004,-17,0.533,NA,115,83
1,24,2004,-19.66,0.406,NA,110,117
1,25,2004,-11.43,0.279,NA,94,116
1,26,2004,-19.32,0.508,NA,90,246
1,27,2004,-27.535,0.178,NA,90,239
1,28,2004,-29.77,0.203,NA,90,435
1,29,2004,-32.445,0.127,NA,90,414
1,30,2004,-33.02,0.076,NA,90,398
1,31,2004,-23.895,0.254,NA,90,386
2,1,2004,-19.675,0.203,NA,90,376
2,2,2004,-20.805,0.229,NA,90,366
2,3,2004,-24.675,0.229,NA,90,358
2,4,2004,-17.875,1.041,NA,92,345
2,5,2004,-7.574,0.508,NA,92,345
2,6,2004,-15.495,0.635,NA,94,366
2,7,2004,-19.78,0.381,NA,94,356
2,8,2004,-9.124,0.838,NA,94,349
