"","month","day","year","avg.temp","penman.pet","rainfall","discharge","snow.depth"
"1",10,1,2003,2.023,2.007,0,"536",0
"2",10,2,2003,7.024,3.378,0,"476",0
"3",10,3,2003,11.646,2.87,0,"429",0
"4",10,4,2003,12.214,2.616,0,"405",0
"5",10,5,2003,13.402,3.404,0,"385",0
"6",10,6,2003,15.267,3.835,0,"363",0
"7",10,7,2003,16.498,4.47,0,"376",0
"8",10,8,2003,17.665,3.683,0,"361",0
"9",10,9,2003,18.555,3.937,0,"373",0
"10",10,10,2003,20.255,3.658,0,"405",0
"11",10,11,2003,12.104,2.616,10.592,"520",0
"12",10,12,2003,9.707,1.956,0,"566",0
"13",10,13,2003,10.878,3.378,0,"640",0
"14",10,14,2003,8.128,2.362,0,"654",0
"15",10,15,2003,4.211,2.565,2.286,"745",0
"16",10,16,2003,3.854,1.6,0,"699",0
"17",10,17,2003,5.49,1.88,0,"593",0
"18",10,18,2003,10.811,2.388,0,"578",0
"19",10,19,2003,12.739,3.734,0,"535",0
"20",10,20,2003,12.52,5.359,0,"517",0
"21",10,21,2003,9.303,1.168,0.254,"541",0
"22",10,22,2003,10.871,4.14,0,"571",0
"23",10,23,2003,5.538,1.549,0.254,"625",0
"24",10,24,2003,9.525,3.861,0.254,"653",0
"25",10,25,2003,1.774,2.261,0,"621",0
"26",10,26,2003,1.016,1.219,0,"634",0
"27",10,27,2003,3.965,0.711,7.62,"606",0
"28",10,28,2003,0.342,0.584,1.27,"603",0
"29",10,29,2003,0.413,0.381,NA,"599",0
"30",10,30,2003,0.751,0.203,NA,"593",0
"31",10,31,2003,-3.477,0.991,NA,"579",0
"32",11,1,2003,-4.871,0.686,NA,"653",0
"33",11,2,2003,-4.191,0.787,NA,"628",0
"34",11,3,2003,-7.815,0.533,NA,"676",0
"35",11,4,2003,-4.645,0.178,NA,"665",0
"36",11,5,2003,-10.717,0.635,NA,"637",28
"37",11,6,2003,-11.735,0.864,NA,"616",24
"38",11,7,2003,-17.205,0.483,NA,"615",21
"39",11,8,2003,-14.993,0.838,NA,"648",19
"40",11,9,2003,-6.033,0.381,NA,"646",16
"41",11,10,2003,-1.322,0.025,NA,"563",15
"42",11,11,2003,0.403,0.61,NA,"573",16
"43",11,12,2003,-4.734,0.864,NA,"648",16
"44",11,13,2003,-6.321,1.041,NA,"673",39
"45",11,14,2003,-2.496,0.279,NA,"679",61
"46",11,15,2003,-2.758,0.025,NA,"687",57
"47",11,16,2003,-0.887,0,NA,"695",55
"48",11,17,2003,3.766,0.127,NA,"702",13
"49",11,18,2003,1.375,0.457,NA,"772",0
"50",11,19,2003,1.636,0.533,NA,"791",0
"51",11,20,2003,-0.433,1.067,NA,"859",0
"52",11,21,2003,-7.701,0.508,NA,"977",0
"53",11,22,2003,-7.786,0.584,NA,"875",0
"54",11,23,2003,-10.51,0.686,NA,"680",0
"55",11,24,2003,-10.779,0.762,NA,"429",0
