"TIPO_DATO15","Data type","ETA1_A","Age at marriage bridegroom","ETA1_B","Age at marriage bride","TIME","Select time","Value","Flag Codes","Flags"
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y20-24","20-24 years","2021","2021",2019,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y25-29","25-29 years","2021","2021",743,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y30-34","30-34 years","2021","2021",195,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y35-39","35-39 years","2021","2021",59,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y40-44","40-44 years","2021","2021",22,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y45-49","45-49 years","2021","2021",11,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y50-54","50-54 years","2021","2021",7,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y55-59","55-59 years","2021","2021",1,,
"MARRG_FROM2017","marriages","Y20-24","20-24 years","Y_GE16","16 years and over","2021","2021",3395,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y20-24","20-24 years","2021","2021",4446,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y25-29","25-29 years","2021","2021",15581,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y30-34","30-34 years","2021","2021",4234,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y35-39","35-39 years","2021","2021",601,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y40-44","40-44 years","2021","2021",138,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y45-49","45-49 years","2021","2021",53,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y50-54","50-54 years","2021","2021",26,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y55-59","55-59 years","2021","2021",19,,
"MARRG_FROM2017","marriages","Y25-29","25-29 years","Y_GE16","16 years and over","2021","2021",25302,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y20-24","20-24 years","2021","2021",1771,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y25-29","25-29 years","2021","2021",19229,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y30-34","30-34 years","2021","2021",26577,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y35-39","35-39 years","2021","2021",3866,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y40-44","40-44 years","2021","2021",640,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y45-49","45-49 years","2021","2021",177,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y50-54","50-54 years","2021","2021",46,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y55-59","55-59 years","2021","2021",12,,
"MARRG_FROM2017","marriages","Y30-34","30-34 years","Y_GE16","16 years and over","2021","2021",52375,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y20-24","20-24 years","2021","2021",463,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y25-29","25-29 years","2021","2021",5371,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y30-34","30-34 years","2021","2021",16284,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y35-39","35-39 years","2021","2021",10332,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y40-44","40-44 years","2021","2021",1983,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y45-49","45-49 years","2021","2021",501,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y50-54","50-54 years","2021","2021",118,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y55-59","55-59 years","2021","2021",24,,
"MARRG_FROM2017","marriages","Y35-39","35-39 years","Y_GE16","16 years and over","2021","2021",35094,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y20-24","20-24 years","2021","2021",115,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y25-29","25-29 years","2021","2021",1171,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y30-34","30-34 years","2021","2021",4463,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y35-39","35-39 years","2021","2021",6594,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y40-44","40-44 years","2021","2021",4560,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y45-49","45-49 years","2021","2021",1436,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y50-54","50-54 years","2021","2021",349,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y55-59","55-59 years","2021","2021",79,,
"MARRG_FROM2017","marriages","Y40-44","40-44 years","Y_GE16","16 years and over","2021","2021",18792,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y20-24","20-24 years","2021","2021",45,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y25-29","25-29 years","2021","2021",401,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y30-34","30-34 years","2021","2021",1418,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y35-39","35-39 years","2021","2021",2908,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y40-44","40-44 years","2021","2021",3855,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y45-49","45-49 years","2021","2021",3442,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y50-54","50-54 years","2021","2021",1201,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y55-59","55-59 years","2021","2021",299,,
"MARRG_FROM2017","marriages","Y45-49","45-49 years","Y_GE16","16 years and over","2021","2021",13635,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y20-24","20-24 years","2021","2021",19,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y25-29","25-29 years","2021","2021",140,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y30-34","30-34 years","2021","2021",480,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y35-39","35-39 years","2021","2021",1086,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y40-44","40-44 years","2021","2021",1969,,
"MARRG_FROM2017","marriages","Y50-54","50-54 years","Y45-49","45-49 years","2021","2021",3062,,
